inserttime,MonitorAddress,每GURL量
2021-01-25 06:50:09+00:00,广东广州南方基地3.1栋203机房,1175928.8460877042
2021-01-25 06:55:15+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 06:56:13+00:00,广东广州南方基地3.1栋203机房,1165787.1491757138
2021-01-25 06:57:36+00:00,广东广州南方基地3.1栋203机房,1203164.7212527965
2021-01-25 06:57:48+00:00,广东广州南方基地3.1栋203机房,1168635.1147821133
2021-01-25 07:00:09+00:00,广东广州南方基地3.1栋203机房,1140501.9246340704
2021-01-25 07:05:15+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 07:06:13+00:00,广东广州南方基地3.1栋203机房,1196242.6549689912
2021-01-25 07:07:36+00:00,广东广州南方基地3.1栋203机房,1242690.1720946177
2021-01-25 07:07:48+00:00,广东广州南方基地3.1栋203机房,1215054.3851213427
2021-01-25 07:10:09+00:00,广东广州南方基地3.1栋203机房,1271556.4036299607
2021-01-25 07:15:15+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 07:16:13+00:00,广东广州南方基地3.1栋203机房,1236221.1091593476
2021-01-25 07:17:36+00:00,广东广州南方基地3.1栋203机房,1286244.224082421
2021-01-25 07:17:48+00:00,广东广州南方基地3.1栋203机房,1276413.8769281805
2021-01-25 07:20:09+00:00,广东广州南方基地3.1栋203机房,1309034.7629599234
2021-01-25 07:25:15+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 07:26:13+00:00,广东广州南方基地3.1栋203机房,1286279.5713583482
2021-01-25 07:27:36+00:00,广东广州南方基地3.1栋203机房,1316058.40943194
2021-01-25 07:27:48+00:00,广东广州南方基地3.1栋203机房,1275295.1351351351
2021-01-25 07:30:09+00:00,广东广州南方基地3.1栋203机房,1308933.6695059626
2021-01-25 07:35:15+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 07:36:13+00:00,广东广州南方基地3.1栋203机房,1305675.9978009895
2021-01-25 07:37:36+00:00,广东广州南方基地3.1栋203机房,1325466.235613604
2021-01-25 07:37:48+00:00,广东广州南方基地3.1栋203机房,1289695.9197994987
2021-01-25 07:40:09+00:00,广东广州南方基地3.1栋203机房,1302393.4107338444
2021-01-25 07:45:15+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 07:46:13+00:00,广东广州南方基地3.1栋203机房,1309765.4869248592
2021-01-25 07:47:36+00:00,广东广州南方基地3.1栋203机房,1320700.6184926184
2021-01-25 07:47:48+00:00,广东广州南方基地3.1栋203机房,1310238.4969824194
2021-01-25 07:50:09+00:00,广东广州南方基地3.1栋203机房,1326769.6326530613
2021-01-25 07:55:15+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 07:56:13+00:00,广东广州南方基地3.1栋203机房,1346454.317717506
2021-01-25 07:57:36+00:00,广东广州南方基地3.1栋203机房,1357038.4715920915
2021-01-25 07:57:48+00:00,广东广州南方基地3.1栋203机房,1347474.6112759644
2021-01-25 08:00:09+00:00,广东广州南方基地3.1栋203机房,1375872.8843224093
2021-01-25 08:05:15+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 08:06:13+00:00,广东广州南方基地3.1栋203机房,1352393.691395725
2021-01-25 08:07:36+00:00,广东广州南方基地3.1栋203机房,1376443.4242135368
2021-01-25 08:07:48+00:00,广东广州南方基地3.1栋203机房,1334674.431759455
2021-01-25 08:10:09+00:00,广东广州南方基地3.1栋203机房,1375222.5905842313
2021-01-25 08:15:15+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 08:16:13+00:00,广东广州南方基地3.1栋203机房,1329725.5150612758
2021-01-25 08:17:36+00:00,广东广州南方基地3.1栋203机房,1363348.6556543838
2021-01-25 08:17:48+00:00,广东广州南方基地3.1栋203机房,1347302.303138215
2021-01-25 08:20:09+00:00,广东广州南方基地3.1栋203机房,1352990.511153601
2021-01-25 08:25:15+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 08:26:13+00:00,广东广州南方基地3.1栋203机房,1344681.1690734471
2021-01-25 08:27:36+00:00,广东广州南方基地3.1栋203机房,1352108.2201639519
2021-01-25 08:27:48+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 08:30:09+00:00,广东广州南方基地3.1栋203机房,1344903.8751451052
2021-01-25 08:35:15+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 08:36:13+00:00,广东广州南方基地3.1栋203机房,1320989.8146526215
2021-01-25 08:37:36+00:00,广东广州南方基地3.1栋203机房,1306598.364829797
2021-01-25 08:37:48+00:00,广东广州南方基地3.1栋203机房,1300662.6777125392
2021-01-25 08:40:09+00:00,广东广州南方基地3.1栋203机房,1294124.3204134367
2021-01-25 08:45:15+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 08:46:13+00:00,广东广州南方基地3.1栋203机房,
2021-01-25 08:47:36+00:00,广东广州南方基地3.1栋203机房,1295412.496024856
2021-01-25 08:47:48+00:00,广东广州南方基地3.1栋203机房,1310793.9892746261
2021-01-25 08:50:09+00:00,广东广州南方基地3.1栋203机房,1295456.4005078904
